OBJECTID,BATHYP_COD,BATHY_POLY,AV_LEGEND,WB_NO,WBNAME,WBTOWN,LAKE_NO,BAY_NO,METHOD_COD,METHOD,DATADATE,DEPTH_FT,ACREAGE,Shape__Area,Shape__Length
1395,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.615,26769.5238037109,643.711426245831
1406,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.052,2255.783203125,171.724076508051
1431,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,1.40100002,61035.28515625,964.975151330925
1435,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.007,295.250305175781,63.3833533818832
1438,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,1.55099999,67581.2084960938,1302.36400316934
1440,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.119,5163.05877685547,261.20439150399
1461,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,19.81800079,863263.87121582,6058.9408375958
1462,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,1.09000003,47478.3789672852,996.005733422313
1464,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,3.7420001,162984.037658691,1604.48466933816
1465,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,1.73300004,75494.2134399414,1309.1562847821
1466,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.05,2176.19329833984,172.501711217706
1468,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,2.65300011,115564.979003906,3100.29013091388
1470,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,1.50100004,65403.7089233398,1928.94275055708
1477,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.41699999,18159.9459228516,486.048246696803
1480,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,6.26700019,272969.097839355,3218.60694095706
1481,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.46399998,20218.1509399414,569.013052233563
